Offense;Condensed
VEHICLE AND TRAFFIC LAWS;DRIVING
UNLAWFUL POSS. WEAP. ON SCHOOL;WEAPONS
UNAUTHORIZED USE OF A VEHICLE;DRIVING
THEFT-FRAUD;THEFT&FRAUD
THEFT OF SERVICES;THEFT&FRAUD
SEX CRIMES;SEX CRIMES
ROBBERY;THEFT&FRAUD
PROSTITUTION & RELATED OFFENSES;OTHER
POSSESSION OF STOLEN PROPERTY;THEFT&FRAUD
PETIT LARCENY OF MOTOR VEHICLE;THEFT&FRAUD
PETIT LARCENY;THEFT&FRAUD
OTHER STATE LAWS (NON PENAL LAW);OTHER
OTHER STATE LAWS (NON PENAL LA;OTHER
OTHER STATE LAWS;OTHER
OTHER OFFENSES RELATED TO THEF;THEFT&FRAUD
OFFENSES RELATED TO CHILDREN;HEALTH&DRUGS
OFFENSES INVOLVING FRAUD;THEFT&FRAUD
OFFENSES AGAINST THE PERSON;ASSAULT
OFFENSES AGAINST PUBLIC SAFETY;PUBLIC ORDER
OFFENSES AGAINST PUBLIC ADMINI;PUBLIC ORDER
OFF. AGNST PUB ORD SENSBLTY &;PUBLIC ORDER
NYS LAWS-UNCLASSIFIED VIOLATION;OTHER
NYS LAWS-UNCLASSIFIED FELONY;OTHER
NEW YORK CITY HEALTH CODE;OTHER
MURDER & NON-NEGL. MANSLAUGHTER;MANSLAUGHTER
MISCELLANEOUS PENAL LAW;OTHER
LOITERING/GAMBLING (CARDS, DIC;PUBLIC ORDER
LOITERING;PUBLIC ORDER
KIDNAPPING & RELATED OFFENSES;KIDNAPPING
KIDNAPPING;KIDNAPPING
JOSTLING;ASSAULT
INTOXICATED/IMPAIRED DRIVING;DRIVING
INTOXICATED & IMPAIRED DRIVING;DRIVING
HOMICIDE-NEGLIGENT-VEHICLE;MANSLAUGHTER
HOMICIDE-NEGLIGENT,UNCLASSIFIE;MANSLAUGHTER
HARRASSMENT 2;ASSAULT
GRAND LARCENY OF MOTOR VEHICLE;THEFT&FRAUD
GRAND LARCENY;THEFT&FRAUD
GAMBLING;PUBLIC ORDER
FRAUDULENT ACCOSTING;THEFT&FRAUD
FRAUDS;THEFT&FRAUD
FORGERY;THEFT&FRAUD
FELONY ASSAULT;ASSAULT
ESCAPE 3;PUBLIC ORDER
ENDAN WELFARE INCOMP;HEALTH&DRUGS
DISRUPTION OF A RELIGIOUS SERV;PUBLIC ORDER
DISORDERLY CONDUCT;PUBLIC ORDER
DANGEROUS WEAPONS;WEAPONS
DANGEROUS DRUGS;HEALTH&DRUGS
CRIMINAL TRESPASS;PUBLIC ORDER
CRIMINAL MISCHIEF & RELATED OF;PUBLIC ORDER
CHILD ABANDONMENT/NON SUPPORT;HEALTH&DRUGS
BURGLARY;THEFT&FRAUD
BURGLAR'S TOOLS;THEFT&FRAUD
ASSAULT 3 & RELATED OFFENSES;ASSAULT
ARSON;ASSAULT
ANTICIPATORY OFFENSES;OTHER
ALCOHOLIC BEVERAGE CONTROL LAW;HEALTH&DRUGS
AGRICULTURE & MRKTS LAW-UNCLASSIFIED;HEALTH&DRUGS
ADMINISTRATIVE CODE;OTHER
ABORTION;HEALTH&DRUGS
